iter	Passed	Remaining
164	735	3723
165	737	3703
166	738	3684
167	740	3665
168	742	3651
169	744	3633
170	745	3615
171	747	3597
172	748	3578
173	750	3561
174	751	3543
175	753	3525
176	754	3508
177	757	3496
178	759	3481
179	760	3465
180	762	3450
181	764	3434
182	765	3419
183	767	3404
184	769	3388
185	776	3400
186	778	3386
187	780	3372
188	782	3358
189	784	3345
190	787	3336
191	790	3327
192	792	3314
193	794	3300
194	796	3286
195	797	3273
196	799	3259
197	801	3246
198	803	3235
199	805	3223
200	808	3211
201	809	3198
202	811	3186
203	813	3173
204	815	3160
205	817	3152
206	820	3141
207	821	3129
208	823	3116
209	825	3103
210	826	3091
211	828	3078
212	830	3066
213	833	3061
214	835	3050
215	837	3038
216	838	3026
217	840	3014
218	841	3002
219	843	2990
220	845	2979
221	848	2972
222	850	2962
223	852	2951
224	853	2940
225	855	2929
226	857	2918
227	858	2907
228	860	2896
229	864	2892
230	866	2882
231	867	2872
232	869	2861
233	870	2850
234	872	2840
235	874	2830
236	875	2820
237	878	2812
238	880	2803
239	882	2793
240	883	2782
241	885	2772
242	886	2762
243	888	2752
244	889	2741
245	892	2735
246	894	2727
247	896	2717
248	897	2707
249	899	2697
250	900	2687
251	901	2677
252	903	2667
253	905	2658
254	908	2653
255	909	2644
256	911	2634
257	912	2625
258	914	2615
259	915	2606
260	917	2597
261	918	2588
262	920	2579
263	923	2573
264	924	2564
265	926	2555
266	927	2546
267	929	2537
268	930	2528
269	931	2519
270	933	2511
271	934	2502
272	938	2498
273	940	2490
274	941	2482
275	943	2473
276	944	2465
277	945	2456
278	947	2448
279	949	2440
280	950	2431
281	953	2427
282	954	2419
283	956	2411
284	957	2403
285	959	2395
286	960	2386
287	962	2379
288	963	2371
289	965	2363
290	968	2359
291	969	2351
292	971	2343
293	972	2336
294	974	2328
295	975	2320
296	977	2313
297	978	2305
298	980	2298
299	982	2293
300	984	2286
301	986	2279
302	987	2271
303	989	2264
304	990	2257
305	992	2250
306	993	2242
307	994	2235
308	997	2230
309	999	2224
310	1000	2217
311	1002	2210
312	1003	2203
313	1005	2196
314	1007	2189
315	1008	2182
316	1009	2176
317	1012	2170
318	1014	2165
319	1015	2158
320	1017	2151
321	1018	2145
322	1020	2138
323	1021	2131
324	1023	2124
325	1024	2118
326	1026	2112
327	1028	2107
328	1030	2101
329	1031	2094
330	1033	2088
331	1034	2082
332	1036	2075
333	1037	2069
334	1039	2062
335	1042	2059
336	1044	2055
337	1046	2048
338	1047	2042
339	1049	2036
340	1050	2030
341	1052	2024
342	1053	2018
343	1055	2011
344	1057	2007
345	1059	2002
346	1060	1996
347	1062	1991
348	1064	1984
349	1065	1978
350	1066	1972
351	1068	1966
352	1069	1960
353	1071	1955
354	1073	1951
355	1075	1945
356	1076	1939
357	1078	1933
358	1079	1927
359	1081	1922
360	1082	1916
361	1084	1910
362	1085	1905
363	1088	1901
364	1089	1895
365	1091	1890
366	1093	1885
367	1094	1880
368	1096	1874
369	1097	1869
370	1099	1863
371	1100	1858
372	1103	1854
373	1105	1850
374	1107	1845
375	1108	1839
376	1109	1833
377	1111	1828
378	1112	1823
379	1114	1817
380	1116	1813
381	1118	1809
382	1120	1804
383	1122	1800
384	1123	1795
385	1125	1790
386	1127	1785
387	1129	1781
388	1131	1777
389	1134	1773
390	1135	1768
391	1136	1763
392	1138	1758
393	1139	1753
394	1141	1748
395	1142	1743
396	1144	1738
397	1147	1735
398	1149	1730
399	1150	1725
400	1151	1720
401	1153	1715
402	1154	1710
403	1156	1705
404	1157	1700
405	1158	1695
406	1160	1691
407	1163	1687
408	1164	1683
409	1166	1678
410	1167	1673
411	1169	1668
412	1170	1663
413	1172	1658
414	1173	1654
415	1174	1649
416	1178	1647
417	1180	1643
418	1181	1638
419	1183	1633
420	1184	1629
421	1185	1624
422	1187	1619
423	1188	1614
424	1190	1610
425	1192	1607
426	1194	1602
427	1195	1597
428	1197	1593
429	1198	1588
430	1200	1584
431	1201	1579
432	1202	1575
433	1204	1570
434	1207	1568
435	1209	1564
436	1210	1559
